Timestamp,Station,Duration (sec),Inactive
2025-05-09 15:57:19,S7,2,False
2025-05-09 15:57:19,S8,2,False
2025-05-09 15:57:19,S9,2,False
2025-05-09 15:57:20,S6,5,False
2025-05-09 15:57:24,S2,2,False
2025-05-09 15:57:24,S3,2,False
2025-05-09 15:57:24,S4,2,False
2025-05-09 15:57:24,S5,2,False
2025-05-09 15:57:24,S6,2,False
2025-05-09 15:57:24,S7,2,False
2025-05-09 15:57:24,S8,2,False
2025-05-09 15:57:24,S9,2,False
2025-05-09 15:57:28,S8,3,False
2025-05-09 15:57:28,S2,3,False
2025-05-09 15:57:28,S8,0,False
2025-05-09 15:57:28,S1,85,False
2025-05-09 15:57:28,S9,3,False
2025-05-09 15:57:43,S8,14,False
2025-05-09 15:57:52,S2,4,False
2025-05-09 15:57:52,S3,4,False
2025-05-09 15:57:52,S4,4,False
2025-05-09 15:57:52,S5,4,False
2025-05-09 15:57:52,S6,4,False
2025-05-09 15:57:52,S7,4,False
2025-05-09 15:57:52,S8,4,False
2025-05-09 15:57:52,S9,4,False
2025-05-09 15:58:03,S9,0,False
2025-05-09 15:58:22,S7,0,False
2025-05-09 15:58:25,S7,0,False
2025-05-09 15:58:38,S7,0,False
2025-05-09 15:59:49,S4,0,False
2025-05-09 16:00:05,S4,3,False
2025-05-09 16:00:11,S4,0,False
2025-05-09 16:00:19,S4,0,False
2025-05-09 16:00:52,S7,0,False
2025-05-09 16:00:58,S7,1,False
2025-05-09 16:01:12,S4,0,False
2025-05-09 16:01:17,S4,1,False
2025-05-09 16:01:25,S6,17,False
2025-05-09 16:01:43,S4,2,False
2025-05-09 16:01:48,S7,3,False
2025-05-09 16:02:00,S4,0,False
2025-05-09 16:02:31,S9,0,False
2025-05-09 16:02:37,S9,0,False
2025-05-09 16:02:37,S4,0,False
2025-05-09 16:02:52,S6,8,False
2025-05-09 16:02:57,S6,0,False
2025-05-09 16:03:03,S6,2,False
2025-05-09 16:03:09,S6,0,False
2025-05-09 16:03:22,S3,1,False
2025-05-09 16:03:41,S4,1,False
2025-05-09 16:13:08,S2,1,False
2025-05-09 16:15:23,S6,0,False
2025-05-09 16:17:32,S5,0,False
2025-05-09 16:17:36,S9,0,False
2025-05-09 16:17:43,S9,0,False
2025-05-09 16:17:47,S5,3,False
2025-05-09 16:18:15,S6,0,False
2025-05-09 16:18:52,S2,0,False
2025-05-09 16:18:52,S3,0,False
2025-05-09 16:18:52,S4,0,False
2025-05-09 16:18:52,S5,0,False
2025-05-09 16:18:52,S6,0,False
2025-05-09 16:18:52,S9,0,False
2025-05-09 16:18:53,S7,0,False
2025-05-09 16:19:24,S3,0,False
2025-05-09 16:19:24,S4,0,False
2025-05-09 16:19:24,S5,0,False
2025-05-09 16:19:24,S4,0,False
2025-05-09 16:19:24,S6,0,False
2025-05-09 16:19:24,S5,0,False
